dataset,loss_type,df,fourier_scale,model_psnr,model_psnr_std,bilinear_psnr,bilinear_psnr_std,psnr_improvement,psnr_improvement_std,total_samples
burst_synth,mse,4,1,27.909253730773926,4.364553302044678,26.12599433898926,3.7210398920557743,1.783259391784668,1.1375463985633398,50
satburst_synth,mse,2,5,39.4367790222168,2.788326626921558,34.69514379501343,3.5073159546927926,4.7416352272033695,1.0749293340539883,20
satburst_synth,gnll,8,10,30.092102336883546,2.760115272296775,26.62105655670166,3.6790241356761686,3.4710457801818846,2.517944164290181,20
satburst_synth,gnll,2,1,31.429163932800293,4.0442536193588445,34.69514379501343,3.5073159546927926,-3.265979862213135,1.5031091795794842,20
satburst_synth,gnll,2,3,38.119448852539065,3.3323784450931817,34.69514379501343,3.5073159546927926,3.424305057525635,1.616692855607539,20
satburst_synth,mse,2,20,40.04736671447754,2.508568295954919,34.69514379501343,3.5073159546927926,5.352222919464111,1.416036420885745,20
burst_synth,gnll,2,3,27.300079803466797,3.5747118276723713,27.66766414642334,3.491218937638369,-0.36758434295654296,2.033871640646517,50
satburst_synth,gnll,8,3,30.319140911102295,3.431205450576888,26.62105655670166,3.6790241356761686,3.6980843544006348,1.3611676702217796,20
burst_synth,mse,8,10,24.086929111480714,4.163241776076135,25.442631454467772,3.8283839550174874,-1.3557023429870605,2.355981420706849,50
satburst_synth,mse,8,1,28.999458980560302,3.6281330924410695,26.62105655670166,3.6790241356761686,2.3784024238586428,0.8460229347726357,20
burst_synth,mse,4,10,17.74113302230835,5.590349468937641,26.12599433898926,3.7210398920557743,-8.384861316680908,5.388703193688986,50
satburst_synth,gnll,4,5,36.33439512252808,2.9562195031243674,29.710631370544434,3.637124963916764,6.623763751983643,1.4595774954377128,20
burst_synth,mse,8,3,27.08431522369385,3.967636450815453,25.442631454467772,3.8283839550174874,1.6416837692260742,0.8245101236224136,50
satburst_synth,gnll,4,20,34.28501043319702,2.4434675937704364,29.710631370544434,3.637124963916764,4.5743790626525875,3.448273643978808,20
burst_synth,mse,2,20,18.421903018951415,3.01343249150247,27.66766414642334,3.491218937638369,-9.245761127471924,2.1657898852684343,50
burst_synth,mse,2,1,29.728171348571777,3.9762655569486194,27.66766414642334,3.491218937638369,2.0605072021484374,1.07651106296333,50
satburst_synth,mse,8,10,30.345456218719484,3.144400830835003,26.62105655670166,3.6790241356761686,3.7243996620178224,1.2486609375779871,20
satburst_synth,gnll,4,3,35.17327470779419,3.215584064787761,29.710631370544434,3.637124963916764,5.462643337249756,1.3568654309565436,20
burst_synth,mse,8,1,27.026021194458007,4.479280815236579,25.442631454467772,3.8283839550174874,1.5833897399902344,1.1055697002147296,50
burst_synth,mse,2,3,29.384963188171387,3.430892906535216,27.66766414642334,3.491218937638369,1.717299041748047,1.0214486599565713,50
satburst_synth,mse,4,10,36.35290517807007,2.57189858386481,29.710631370544434,3.637124963916764,6.642273807525635,1.5938232869848954,20
