dataset,loss_type,df,fourier_scale,model_psnr,model_psnr_std,bilinear_psnr,bilinear_psnr_std,psnr_improvement,psnr_improvement_std,total_samples
burst_synth,gnll,8,5,23.848890914916993,4.217244130276629,25.442631454467772,3.8283839550174874,-1.5937405395507813,1.6569770688325278,50
burst_synth,gnll,8,20,20.28529224395752,3.498804312157212,25.442631454467772,3.8283839550174874,-5.157339210510254,1.590233166104424,50
burst_synth,gnll,2,1,26.6441930770874,4.480377517499609,27.66766414642334,3.491218937638369,-1.0234710693359375,1.9224504213040643,50
burst_synth,gnll,8,10,22.753430709838867,3.957734887955564,25.442631454467772,3.8283839550174874,-2.689200744628906,1.7740886989183404,50
burst_synth,gnll,2,10,22.270183639526365,3.728303240689394,27.66766414642334,3.491218937638369,-5.397480506896972,1.7102814843949015,50
satburst_synth,gnll,4,1,29.278917026519775,4.140579361540904,29.710631370544434,3.637124963916764,-0.4317143440246582,1.0045791265144068,20
burst_synth,mse,4,5,26.620630569458008,3.7740971735907314,26.12599433898926,3.7210398920557743,0.49463623046875,1.2110128893954515,50
burst_synth,gnll,8,3,24.572144813537598,4.230657764712061,25.442631454467772,3.8283839550174874,-0.8704866409301758,1.5204865695352476,50
burst_synth,gnll,4,10,22.659913425445556,4.007733487226877,26.12599433898926,3.7210398920557743,-3.466080913543701,1.7680451672735245,50
burst_synth,gnll,4,3,25.151388053894042,4.197388252956227,26.12599433898926,3.7210398920557743,-0.9746062850952149,1.6588893659665382,50
burst_synth,mse,4,20,14.995942249298096,3.0524676200559813,26.12599433898926,3.7210398920557743,-11.130052089691162,2.1675898766093598,50
burst_synth,mse,2,5,24.464164199829103,4.35887290584501,27.66766414642334,3.491218937638369,-3.2034999465942384,2.7088515516555027,50
satburst_synth,gnll,2,5,38.5009370803833,3.589032465482915,34.69514379501343,3.5073159546927926,3.805793285369873,1.8867829950218327,20
burst_synth,mse,2,10,21.274049472808837,3.3513283021911047,27.66766414642334,3.491218937638369,-6.393614673614502,2.1279698644532448,50
burst_synth,gnll,2,5,25.10914794921875,4.032915717362392,27.66766414642334,3.491218937638369,-2.55851619720459,2.126114712173197,50
satburst_synth,mse,2,1,32.690237808227536,3.307620117893409,34.69514379501343,3.5073159546927926,-2.0049059867858885,1.1028087696198758,20
satburst_synth,gnll,8,1,27.812972450256346,3.92886226478652,26.62105655670166,3.6790241356761686,1.1919158935546874,0.8082714084549926,20
burst_synth,mse,8,20,13.99977925300598,3.7872813193499706,25.442631454467772,3.8283839550174874,-11.442852201461791,3.5474627132344683,50
satburst_synth,mse,4,5,35.40836839675903,2.932603751615567,29.710631370544434,3.637124963916764,5.697737026214599,1.2763537970633638,20
satburst_synth,mse,2,10,40.49192123413086,2.7441274907848414,34.69514379501343,3.5073159546927926,5.796777439117432,1.0721637249859808,20
satburst_synth,mse,4,20,34.03284578323364,2.2475448396681905,29.710631370544434,3.637124963916764,4.322214412689209,2.034078344521304,20
satburst_synth,mse,2,3,37.36964664459229,2.894703600395634,34.69514379501343,3.5073159546927926,2.6745028495788574,1.2189386485731863,20
burst_synth,gnll,4,20,17.82046682357788,2.9713614947018954,26.12599433898926,3.7210398920557743,-8.305527515411377,2.2529596302114063,50
burst_synth,mse,4,3,27.367281990051268,4.146710534804728,26.12599433898926,3.7210398920557743,1.2412876510620117,1.247203899100468,50
satburst_synth,mse,8,5,30.059587287902833,3.3503196270328597,26.62105655670166,3.6790241356761686,3.4385307312011717,1.2487917535124808,20
satburst_synth,gnll,2,10,39.31429042816162,3.742746761676662,34.69514379501343,3.5073159546927926,4.619146633148193,2.20465108248341,20
satburst_synth,gnll,2,20,35.86920948028565,6.0950788070024045,34.69514379501343,3.5073159546927926,1.1740656852722169,5.928059268202647,20
satburst_synth,gnll,4,10,35.40646944046021,2.528704891080828,29.710631370544434,3.637124963916764,5.695838069915771,2.7750156467527005,20
satburst_synth,mse,8,3,29.811291408538818,3.4496604201042222,26.62105655670166,3.6790241356761686,3.1902348518371584,1.1502031050434205,20
burst_synth,gnll,8,1,24.720718154907228,4.540967146072884,25.442631454467772,3.8283839550174874,-0.7219132995605468,1.4974478656913182,50
burst_synth,gnll,2,20,20.58601354598999,3.1937783334602092,27.66766414642334,3.491218937638369,-7.08165060043335,2.0481694102946983,50
burst_synth,gnll,4,5,24.38883804321289,4.246480878908961,26.12599433898926,3.7210398920557743,-1.737156295776367,1.8827511018041072,50
satburst_synth,mse,4,1,31.38755884170532,3.3725079302805034,29.710631370544434,3.637124963916764,1.6769274711608886,0.8935512228581829,20
satburst_synth,mse,4,3,34.154620265960695,3.076371327218897,29.710631370544434,3.637124963916764,4.443988895416259,1.145664526405689,20
satburst_synth,gnll,8,20,24.91417875289917,3.783995814809085,26.62105655670166,3.6790241356761686,-1.7068778038024903,3.227067738356977,20
burst_synth,gnll,4,1,25.2353125,4.5976803947158,26.12599433898926,3.7210398920557743,-0.8906818389892578,1.6384774907510453,50
burst_synth,mse,8,5,25.88534744262695,4.139349672682927,25.442631454467772,3.8283839550174874,0.4427159881591797,1.235900423506513,50
satburst_synth,gnll,8,5,29.45952558517456,3.6189562076920643,26.62105655670166,3.6790241356761686,2.8384690284729004,1.8808987091840892,20
